event_id,inv_id,timestamp_debut,timestamp_fin,duree_minutes,peak_error,dtw_distance,mean_error,gradient_montee,gradient_descente
1,1,2017-11-06 07:55,2017-11-06 10:10,140,0.3706,0.0,0.2594,0.05,-0.03
2,1,2017-11-06 10:50,2017-11-06 11:00,15,0.6011,0.0,0.4208,0.05,-0.03
3,1,2017-11-06 12:30,2017-11-06 12:40,15,0.6758,0.0,0.4731,0.05,-0.03
4,1,2017-11-06 13:25,2017-11-06 14:10,50,0.482,0.0,0.3374,0.05,-0.03
5,1,2017-11-06 14:45,2017-11-06 15:40,60,0.1376,0.0,0.0963,0.05,-0.03
6,1,2017-12-12 07:15,2017-12-12 09:40,150,0.1543,0.0,0.108,0.05,-0.03
7,1,2017-12-12 12:40,2017-12-12 14:20,105,0.3995,0.0,0.2796,0.05,-0.03
8,1,2017-12-12 15:25,2017-12-12 16:15,55,0.0604,0.0,0.0423,0.05,-0.03
9,1,2017-12-29 09:10,2017-12-29 09:35,30,0.0994,0.0,0.0696,0.05,-0.03
10,1,2017-12-29 10:20,2017-12-29 11:20,65,0.5802,0.0,0.4061,0.05,-0.03
11,1,2017-12-29 12:05,2017-12-29 12:15,15,0.5412,0.0,0.3788,0.05,-0.03
12,1,2017-12-29 12:50,2017-12-29 15:05,140,0.3396,0.0,0.2377,0.05,-0.03
13,1,2018-02-06 11:05,2018-02-06 11:25,25,0.6336,0.0,0.4435,0.05,-0.03
14,1,2018-02-18 12:10,2018-02-18 12:20,15,0.7651,0.0,0.5356,0.05,-0.03
15,1,2018-02-18 15:25,2018-02-18 15:35,15,0.2816,0.0,0.1971,0.05,-0.03
16,1,2018-02-21 06:55,2018-02-21 08:15,85,0.0736,0.0,0.0515,0.05,-0.03
17,1,2018-02-21 11:45,2018-02-21 12:50,70,0.4648,0.0,0.3254,0.05,-0.03
18,1,2018-02-21 16:30,2018-02-21 17:50,85,0.1069,0.0,0.0748,0.05,-0.03
19,1,2018-02-27 07:10,2018-02-27 08:55,110,0.5476,0.0,0.3833,0.05,-0.03
20,1,2018-02-27 10:45,2018-02-27 12:05,85,0.6395,0.0,0.4476,0.05,-0.03
21,1,2018-02-27 13:35,2018-02-27 13:45,15,0.7751,0.0,0.5426,0.05,-0.03
22,1,2018-03-02 06:40,2018-03-02 06:55,20,0.0655,0.0,0.0458,0.05,-0.03
23,1,2018-03-02 08:35,2018-03-02 11:00,150,0.6312,0.0,0.4418,0.05,-0.03
24,1,2018-03-02 12:00,2018-03-02 15:15,200,0.3297,0.0,0.2308,0.05,-0.03
25,1,2018-03-12 08:35,2018-03-12 09:20,50,0.1303,0.0,0.0912,0.05,-0.03
26,1,2018-03-12 10:20,2018-03-12 11:05,50,0.4627,0.0,0.3239,0.05,-0.03
27,1,2018-03-12 12:25,2018-03-12 12:55,35,0.7835,0.0,0.5484,0.05,-0.03
28,1,2018-03-12 14:25,2018-03-12 16:35,135,0.2143,0.0,0.15,0.05,-0.03
29,1,2018-03-19 07:00,2018-03-19 07:35,40,0.0752,0.0,0.0526,0.05,-0.03
30,1,2018-03-19 08:45,2018-03-19 16:40,480,0.482,0.0,0.3374,0.05,-0.03
31,1,2018-03-30 07:35,2018-03-30 18:45,675,0.318,0.0,0.2226,0.05,-0.03
32,1,2018-04-07 08:00,2018-04-07 10:25,150,0.2359,0.0,0.1651,0.05,-0.03
33,1,2018-04-07 11:20,2018-04-07 15:30,255,0.5092,0.0,0.3564,0.05,-0.03
34,1,2018-04-26 07:45,2018-04-26 08:25,45,0.2122,0.0,0.1485,0.05,-0.03
35,1,2018-04-26 11:10,2018-04-26 12:40,95,0.276,0.0,0.1932,0.05,-0.03
36,1,2018-04-26 14:50,2018-04-26 15:05,20,0.6434,0.0,0.4504,0.05,-0.03
37,1,2018-06-04 16:35,2018-06-04 18:00,90,0.4837,0.0,0.3386,0.05,-0.03
