measured_on,ambient_temperature_o_149575,wind_speed_o_149576,wind_direction_o_149577
2024-01-01 00:15:00,44.2,3.3,187.0
2024-01-01 00:30:00,44.2,3.3,187.0
2024-01-01 00:45:00,44.2,3.3,187.0
2024-01-01 01:00:00,43.9,2.3,183.0
2024-01-01 01:15:00,43.9,2.3,183.0
2024-01-01 01:30:00,43.9,2.3,183.0
2024-01-01 01:45:00,43.9,2.3,183.0
2024-01-01 02:00:00,43.3,1.8,87.0
2024-01-01 02:15:00,43.3,1.8,87.0
2024-01-01 02:30:00,43.3,1.8,87.0
2024-01-01 02:45:00,43.3,1.8,87.0
2024-01-01 03:00:00,42.4,2.3,99.0
2024-01-01 03:15:00,42.4,2.3,99.0
2024-01-01 03:30:00,42.4,2.3,99.0
2024-01-01 03:45:00,42.4,2.3,99.0
2024-01-01 04:00:00,42.2,2.2,187.0
2024-01-01 04:15:00,42.2,2.2,187.0
2024-01-01 04:30:00,42.2,2.2,187.0
2024-01-01 04:45:00,42.2,2.2,187.0
2024-01-01 05:00:00,40.7,1.9,75.0
2024-01-01 05:15:00,40.7,1.9,75.0
2024-01-01 05:30:00,40.7,1.9,75.0
2024-01-01 05:45:00,40.7,1.9,75.0
2024-01-01 06:00:00,41.6,2.1,117.0
2024-01-01 06:15:00,41.6,2.1,117.0
2024-01-01 06:30:00,41.6,2.1,117.0
2024-01-01 06:45:00,41.6,2.1,117.0
2024-01-01 07:00:00,41.5,2.0,185.0
2024-01-01 07:15:00,41.5,2.0,185.0
2024-01-01 07:30:00,41.5,2.0,185.0
2024-01-01 07:45:00,41.5,2.0,185.0
2024-01-01 08:00:00,44.8,1.4,171.0
2024-01-01 08:15:00,44.8,1.4,171.0
2024-01-01 08:30:00,44.8,1.4,171.0
2024-01-01 08:45:00,44.8,1.4,171.0
2024-01-01 09:00:00,52.1,2.0,32.0
2024-01-01 09:15:00,52.1,2.0,32.0
2024-01-01 09:30:00,52.1,2.0,32.0
2024-01-01 09:45:00,52.1,2.0,32.0
2024-01-01 10:00:00,54.3,3.2,294.0
2024-01-01 10:15:00,54.3,3.2,294.0
2024-01-01 10:30:00,54.3,3.2,294.0
2024-01-01 10:45:00,54.3,3.2,294.0
2024-01-01 11:00:00,58.1,3.1,355.0
2024-01-01 11:15:00,58.1,3.1,355.0
2024-01-01 11:30:00,58.1,3.1,355.0
2024-01-01 11:45:00,58.1,3.1,355.0
2024-01-01 12:00:00,59.8,3.7,18.0
2024-01-01 12:15:00,59.8,3.7,18.0
2024-01-01 12:30:00,59.8,3.7,18.0
2024-01-01 12:45:00,59.8,3.7,18.0
2024-01-01 13:00:00,60.8,4.2,16.0
2024-01-01 13:15:00,60.8,4.2,16.0
2024-01-01 13:30:00,60.8,4.2,16.0
2024-01-01 13:45:00,60.8,4.2,16.0
2024-01-01 14:00:00,61.4,3.7,38.0
2024-01-01 14:15:00,61.4,3.7,38.0
2024-01-01 14:30:00,61.4,3.7,38.0
2024-01-01 14:45:00,61.4,3.7,38.0
2024-01-01 15:00:00,63.2,3.0,44.0
2024-01-01 15:15:00,63.2,3.0,44.0
2024-01-01 15:30:00,63.2,3.0,44.0
2024-01-01 15:45:00,63.2,3.0,44.0
2024-01-01 16:00:00,60.0,1.9,66.0
2024-01-01 16:15:00,60.0,1.9,66.0
2024-01-01 16:30:00,60.0,1.9,66.0
2024-01-01 16:45:00,60.0,1.9,66.0
2024-01-01 17:00:00,54.4,2.2,217.0
2024-01-01 17:15:00,54.4,2.2,217.0
2024-01-01 17:30:00,54.4,2.2,217.0
2024-01-01 17:45:00,54.4,2.2,217.0
2024-01-01 18:00:00,51.3,2.2,175.0
2024-01-01 18:15:00,51.3,2.2,175.0
2024-01-01 18:30:00,51.3,2.2,175.0
2024-01-01 18:45:00,51.3,2.2,175.0
2024-01-01 19:00:00,48.4,2.9,195.0
2024-01-01 19:15:00,48.4,2.9,195.0
2024-01-01 19:30:00,48.4,2.9,195.0
2024-01-01 19:45:00,48.4,2.9,195.0
2024-01-01 20:00:00,47.7,3.1,179.0
2024-01-01 20:15:00,47.7,3.1,179.0
2024-01-01 20:30:00,47.7,3.1,179.0
2024-01-01 20:45:00,47.7,3.1,179.0
