measured_on,poa_irradiance_o_149574
2024-01-01 00:10:00,0.0
2024-01-01 00:15:00,0.0
2024-01-01 00:25:00,0.0
2024-01-01 00:40:00,0.0
2024-01-01 00:45:00,0.0
2024-01-01 00:50:00,0.0
2024-01-01 00:55:00,0.0
2024-01-01 01:00:00,0.0
2024-01-01 01:05:00,0.0
2024-01-01 01:10:00,0.0
2024-01-01 01:15:00,0.0
2024-01-01 01:20:00,0.0
2024-01-01 01:25:00,0.0
2024-01-01 01:45:00,0.0
2024-01-01 01:55:00,0.0
2024-01-01 02:00:00,0.0
2024-01-01 02:10:00,0.0
2024-01-01 02:15:00,0.0
2024-01-01 02:20:00,0.0
2024-01-01 02:30:00,0.0
2024-01-01 02:50:00,0.0
2024-01-01 02:55:00,0.0
2024-01-01 03:00:00,0.0
2024-01-01 03:15:00,0.0
2024-01-01 03:20:00,0.0
2024-01-01 03:40:00,0.0
2024-01-01 03:45:00,0.0
2024-01-01 03:50:00,0.0
2024-01-01 03:55:00,0.0
2024-01-01 04:00:00,0.0
2024-01-01 04:05:00,0.0
2024-01-01 04:10:00,0.0
2024-01-01 04:25:00,0.0
2024-01-01 04:40:00,0.0
2024-01-01 04:45:00,0.0
2024-01-01 04:50:00,0.0
2024-01-01 04:55:00,0.0
2024-01-01 05:10:00,0.0
2024-01-01 05:15:00,0.0
2024-01-01 05:25:00,0.0
2024-01-01 05:45:00,0.0
2024-01-01 05:50:00,0.0
2024-01-01 05:55:00,0.0
2024-01-01 06:00:00,0.0
2024-01-01 06:10:00,0.0
2024-01-01 06:20:00,0.0
2024-01-01 06:30:00,0.0
2024-01-01 06:40:00,0.0
2024-01-01 06:45:00,0.0
2024-01-01 06:50:00,0.0
2024-01-01 06:55:00,0.0
2024-01-01 07:00:00,0.0
2024-01-01 07:05:00,0.0
2024-01-01 07:15:00,0.0
2024-01-01 07:20:00,0.5999999999999999
2024-01-01 07:25:00,2.6
2024-01-01 07:30:00,4.9
2024-01-01 07:35:00,7.2
2024-01-01 07:40:00,10.4
2024-01-01 07:45:00,16.1
2024-01-01 07:50:00,46.9
2024-01-01 07:55:00,75.29999999999998
2024-01-01 08:00:00,105.5
2024-01-01 08:05:00,139.3
2024-01-01 08:10:00,167.1
2024-01-01 08:15:00,187.7
2024-01-01 08:20:00,210.7
2024-01-01 08:25:00,233.7
2024-01-01 08:30:00,255.8
